Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,1899.0,1924.5,1888.0,1898.5,1878.8538818359375,550256
2024-01-03,1888.0,1904.0,1848.0,1861.0,1841.741943359375,3798590
2024-01-04,1862.5,1877.5,1843.5,1860.0,1840.752197265625,623539
2024-01-05,1841.5,1854.5,1823.0,1851.5,1832.3402099609375,361336
2024-01-08,1865.0,1866.0,1834.5,1862.5,1843.226318359375,2684803
2024-01-09,1871.0,1871.0,1838.0,1848.0,1828.87646484375,847975
2024-01-10,1844.5,1856.5,1834.5,1855.5,1836.298828125,482588
2024-01-11,1872.0,1875.0,1829.5,1831.5,1812.547119140625,1603786
2024-01-12,1822.0,1859.5,1822.0,1847.5,1828.381591796875,228482
2024-01-15,1845.5,1854.0,1835.0,1838.0,1818.9798583984375,613027
2024-01-16,1823.5,1834.0,1815.5,1818.0,1799.1868896484375,689455
2024-01-17,1788.0,1804.5,1776.0,1800.0,1781.3731689453125,512398
2024-01-18,1803.5,1816.5,1795.0,1810.0,1791.2696533203125,472926
2024-01-19,1810.0,1824.0,1791.5,1791.5,1772.9610595703125,899315
2024-01-22,1813.0,1815.5,1787.5,1795.5,1776.919677734375,410646
2024-01-23,1815.5,1815.5,1782.0,1787.5,1769.00244140625,522757
2024-01-24,1799.5,1814.5,1792.5,1814.0,1795.228271484375,847812
2024-01-25,1797.0,1815.5,1795.0,1815.5,1796.7127685546875,578057
2024-01-26,1787.0,1829.0,1787.0,1817.0,1798.197265625,2284782
2024-01-29,1820.0,1828.5,1809.0,1826.0,1807.1041259765625,920821
2024-01-30,1833.5,1852.5,1833.5,1835.0,1816.010986328125,521482
2024-01-31,1843.0,1856.0,1816.5,1819.5,1800.67138671875,727246
2024-02-01,1807.5,1833.5,1807.5,1813.0,1794.2386474609375,531078
2024-02-02,1825.5,1833.5,1806.5,1812.5,1793.7437744140625,1004798
2024-02-05,1807.5,1820.0,1758.5,1759.5,1741.292236328125,635125
2024-02-06,1766.5,1833.0,1764.0,1832.5,1813.536865234375,759394
2024-02-07,1826.0,1835.0,1802.5,1809.5,1790.7747802734375,2055150
