Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,896.5,903.0,892.5,902.0,698.123046875,2172875
2014-01-03,900.0,906.5830078125,892.5,899.5,696.1881103515625,1556989
2014-01-06,897.5,907.0,896.0,903.5,699.2841186523438,1606872
2014-01-07,900.5,906.5,899.1599731445312,901.0,697.3490600585938,2004481
2014-01-08,897.5,906.8400268554688,893.5,903.0,698.8970947265625,2269683
2014-01-09,901.0,912.5,899.0,903.5,699.2841186523438,2823853
2014-01-10,904.5,914.0830078125,903.5,907.5,702.3799438476562,1755354
2014-01-13,907.0,910.5,901.6079711914062,907.0,701.9929809570312,2065330
2014-01-14,906.0,920.5,904.3499755859375,918.5,710.8936767578125,2731591
2014-01-15,922.0,929.0,921.5,927.5,717.8594970703125,2945892
2014-01-16,927.0,931.4000244140625,925.0,926.5,717.0853881835938,2254929
2014-01-17,927.0,932.0,920.5,925.5,716.3115234375,6350790
2014-01-20,925.0,929.5,919.5,924.5,715.5374145507812,1602513
2014-01-21,924.0,934.0,921.5,931.0,720.5682983398438,2084692
2014-01-22,933.0,938.0,925.0,926.5,717.0853881835938,2036616
2014-01-23,925.0,930.5,912.5,916.0,708.9586791992188,2371250
2014-01-24,917.0,923.5,900.5,904.0,699.6708984375,3008658
2014-01-27,898.5,903.5,889.0,893.5,691.5443725585938,2805434
2014-01-28,891.5,895.35400390625,889.5,892.5,690.7705688476562,3623559
2014-01-29,896.5,902.5,885.5,896.0,693.479248046875,3151741
2014-01-30,894.5,897.7919921875,888.0,890.0,688.83544921875,2837131
2014-01-31,889.5,894.0,875.0,887.0,686.513427734375,2536445
2014-02-03,882.5,896.5,882.5,889.0,688.0614013671875,2056221
2014-02-04,889.0,892.0,878.0,883.5,683.8045654296875,2103322
2014-02-05,883.5,890.5,876.0,878.0,679.5477905273438,2768065
2014-02-06,884.5,887.0,877.5,886.5,686.1265869140625,3248338
2014-02-07,888.0,895.1400146484375,883.5,887.0,686.513427734375,3031095
2014-02-10,889.0,890.5,883.9420166015625,886.0,685.7395629882812,1747933
2014-02-11,889.5,906.5,889.5,906.5,701.60595703125,3400997
2014-02-12,906.0,909.5,904.5,908.0,702.7670288085938,2252517
